tick,population,average_speed
1,5,0.24077558020310183
2,5,0.24077558020310183
3,5,0.24077558020310183
4,5,0.24077558020310183
5,5,0.24077558020310183
6,5,0.24077558020310183
7,5,0.24077558020310183
8,5,0.24077558020310183
9,5,0.24077558020310183
10,6,0.2509432169093288
11,6,0.2509432169093288
12,6,0.2509432169093288
13,6,0.2509432169093288
14,6,0.2509432169093288
15,6,0.2509432169093288
16,6,0.2509432169093288
17,6,0.2509432169093288
18,6,0.2509432169093288
19,6,0.2509432169093288
20,6,0.3071532504847316
21,5,0.30701415564627427
22,5,0.30701415564627427
23,5,0.30701415564627427
24,5,0.30701415564627427
25,5,0.30701415564627427
26,5,0.30701415564627427
27,5,0.30701415564627427
28,5,0.30701415564627427
29,5,0.30701415564627427
30,5,0.30701415564627427
31,5,0.30701415564627427
32,5,0.30701415564627427
33,6,0.3204665813584939
34,6,0.3204665813584939
35,6,0.3204665813584939
36,6,0.3204665813584939
37,6,0.3204665813584939
38,6,0.3204665813584939
39,6,0.3204665813584939
40,5,0.3619928645621027
41,5,0.3619928645621027
42,5,0.3619928645621027
43,5,0.3619928645621027
44,6,0.3777473176603849
45,7,0.38575768830860474
46,7,0.38575768830860474
47,7,0.38575768830860474
48,7,0.38575768830860474
49,7,0.38575768830860474
50,6,0.3997537362866283
51,6,0.3997537362866283
52,5,0.4021587415600355
53,5,0.4021587415600355
54,6,0.4277595658158959
55,6,0.4277595658158959
56,6,0.4277595658158959
57,6,0.4277595658158959
58,6,0.4277595658158959
59,6,0.4277595658158959
60,7,0.4279462502654954
61,7,0.4279462502654954
62,8,0.4408186786342618
63,9,0.4505229649691053
64,8,0.452610846565503
65,8,0.452610846565503
66,8,0.452610846565503
67,8,0.452610846565503
68,8,0.452610846565503
69,8,0.452610846565503
70,8,0.452610846565503
71,9,0.4572950303374742
72,9,0.4572950303374742
73,9,0.4572950303374742
74,9,0.4572950303374742
75,9,0.4572950303374742
76,9,0.4572950303374742
77,11,0.4742620783567561
78,11,0.4742620783567561
79,11,0.4742620783567561
80,10,0.48294444754044374
81,11,0.48117158144199323
82,11,0.48117158144199323
83,11,0.48117158144199323
84,11,0.48117158144199323
85,10,0.48363678127101306
86,12,0.48285718508705333
87,12,0.48285718508705333
88,15,0.4956900081845347
89,15,0.4956900081845347
90,15,0.4956900081845347
91,15,0.4956900081845347
92,18,0.5096417717073466
93,19,0.512713317869603
94,19,0.512713317869603
95,21,0.5213047994177062
96,22,0.5300256454130283
97,22,0.5300256454130283
98,23,0.5385013281249649
99,22,0.543475644995959
100,23,0.5498672369794931
101,24,0.5599511812947541
102,24,0.5599511812947541
103,24,0.5599511812947541
104,26,0.5571885958578258
105,26,0.5571885958578258
106,28,0.564193536570249
107,27,0.5673469673177496
108,28,0.5639617761394986
109,30,0.5831176044531264
110,31,0.5914970580813814
111,31,0.5914970580813814
112,32,0.6014218539245229
113,36,0.6080144200536066
114,37,0.6167371840031154
115,37,0.6244369838920923
116,38,0.6223603224086348
117,40,0.6363330853819693
118,41,0.6448540915972077
119,43,0.6513458511249233
120,42,0.6597529436386877
121,40,0.6695377768416645
122,40,0.6695377768416645
123,40,0.6843371470182356
124,40,0.6843371470182356
125,40,0.6843371470182356
126,40,0.6843371470182356
127,40,0.6843371470182356
128,39,0.6855354307327871
129,39,0.6855354307327871
130,39,0.6855354307327871
131,39,0.6859855942883835
132,37,0.6895941273502427
133,35,0.6900996356963662
134,35,0.6900996356963662
135,35,0.6900996356963662
136,34,0.6863639467038095
137,34,0.682820767583361
138,32,0.6870732294498818
139,31,0.6749059970051781
140,30,0.6807020669420649
141,30,0.6807020669420649
142,30,0.6807020669420649
143,30,0.6679769399457189
144,30,0.674113679422215
145,28,0.6673897345875955
146,28,0.6872806287742935
147,29,0.6894306275614304
148,29,0.7000213523707091
149,27,0.6891483732291709
150,25,0.6971946526666705
151,26,0.6983829262781829
152,25,0.6916177940252414
153,25,0.7012523074510689
154,25,0.7012523074510689
155,23,0.7037617529773795
156,22,0.7098289964835455
157,21,0.728121603651586
158,21,0.728121603651586
159,21,0.728121603651586
160,21,0.728121603651586
161,21,0.728121603651586
162,21,0.728121603651586
163,21,0.7374959407988463
164,22,0.7330592714614066
165,23,0.7369403444047176
166,23,0.7247679784633307
167,22,0.723637859593425
168,22,0.723637859593425
169,22,0.723637859593425
170,23,0.7392579087296487
171,23,0.7392579087296487
172,24,0.7348871238003927
173,25,0.7510098858729747
174,25,0.7510098858729747
175,24,0.7490664354475495
176,24,0.7490664354475495
177,25,0.7449340010722336
178,26,0.7475267719464436
179,26,0.7475267719464436
180,27,0.7394323981092161
181,27,0.7394323981092161
182,27,0.7394323981092161
183,26,0.7432609820605255
184,27,0.7423700094041012
185,27,0.7423700094041012
186,27,0.7423700094041012
187,27,0.7423700094041012
188,26,0.7455990138051525
189,24,0.7645973179228335
190,22,0.7545937304362723
191,22,0.7545937304362723
192,22,0.7706643502990282
193,22,0.7706643502990282
194,22,0.7761200333066495
195,22,0.7761200333066495
196,22,0.7761200333066495
197,20,0.7827937086365587
198,20,0.7827937086365587
199,21,0.7822291365303109
200,20,0.7948916594397615
201,20,0.7948916594397615
202,20,0.7948916594397615
203,20,0.7948916594397615
204,19,0.8071671955606476
205,18,0.8063251536941525
206,18,0.8063251536941525
207,18,0.8063251536941525
208,18,0.8063251536941525
209,19,0.8138175054172719
210,20,0.8318451453437629
211,20,0.8318451453437629
212,20,0.8318451453437629
213,19,0.8391080860397426
214,19,0.8297983375286986
215,21,0.8224671441833441
216,20,0.8313027225892784
217,19,0.8231768479778326
218,19,0.7949103900191613
219,19,0.7949103900191613
220,19,0.7864614276483511
221,19,0.7864614276483511
222,19,0.7864614276483511
223,18,0.7702868997595788
224,19,0.7586145828471647
225,18,0.7608040196532808
226,18,0.7608040196532808
227,17,0.763247358206655
228,17,0.763247358206655
229,17,0.7291703196894065
230,17,0.7291703196894065
231,18,0.7243050918297965
232,18,0.7081395234755484
233,19,0.7270905339105468
234,18,0.726806380052684
235,17,0.716235347768506
236,17,0.716235347768506
237,17,0.7295869712342049
238,17,0.7295869712342049
239,18,0.7259559793725662
240,19,0.7196358309235404
241,21,0.7286579139142736
242,21,0.7286579139142736
243,21,0.7603399250603351
244,21,0.7603399250603351
245,21,0.7603399250603351
246,21,0.7603399250603351
247,21,0.7603399250603351
248,22,0.7539656254336019
249,22,0.7806201328635122
250,22,0.7806201328635122
251,21,0.7846052593316951
252,22,0.8029492864291405
253,22,0.8029492864291405
254,22,0.8029492864291405
255,21,0.8126550769295168
256,21,0.8126550769295168
257,21,0.8126550769295168
258,21,0.8126550769295168
259,20,0.8229941728339387
260,20,0.8332719126846333
261,18,0.8646432011235924
262,18,0.8646432011235924
263,18,0.8646432011235924
264,20,0.8819950017441149
265,20,0.8819950017441149
266,20,0.8819950017441149
267,19,0.8957786685057945
268,20,0.8784167473804978
269,20,0.8784167473804978
270,21,0.8843754500477031
271,21,0.8777688596043094
272,21,0.8777688596043094
273,22,0.8818759928517147
274,22,0.8818759928517147
275,22,0.8818759928517147
276,21,0.8916589925108689
277,21,0.8916589925108689
278,23,0.8913494058870669
279,22,0.9016730553489924
280,22,0.9016730553489924
281,22,0.9016730553489924
282,21,0.8894562300472855
283,21,0.8633612709693596
284,21,0.8633612709693596
285,21,0.8633612709693596
286,21,0.8633612709693596
287,21,0.8633612709693596
288,20,0.8791023222178346
289,19,0.8631887700918318
290,18,0.8553909515751664
291,18,0.8291304940149602
292,17,0.8401619220031095
293,18,0.8304783310708289
294,17,0.784643995146439
295,17,0.784643995146439
296,17,0.784643995146439
297,17,0.7841989026022979
298,16,0.7682539369480771
299,16,0.7682539369480771
300,16,0.7682539369480771
301,16,0.7682539369480771
302,17,0.7991821977412178
303,17,0.8208272516723629
304,18,0.8002952535497423
305,19,0.8073078051473392
306,19,0.8073078051473392
307,20,0.8035462450769078
308,21,0.8132973536070002
309,21,0.8132973536070002
310,22,0.8066059469904452
311,21,0.8175516006528227
312,21,0.8389914207843696
313,21,0.864375243946523
314,21,0.864375243946523
315,21,0.864375243946523
316,21,0.864375243946523
317,22,0.8627962059900053
318,22,0.8627962059900053
319,22,0.8627962059900053
320,23,0.8648790316606313
321,23,0.8648790316606313
322,22,0.8728061576171489
323,21,0.8928801991481944
324,21,0.8928801991481944
325,20,0.9111163463232114
326,20,0.9111163463232114
327,19,0.9060003895923884
328,19,0.9060003895923884
329,19,0.910315671301297
330,20,0.9010437670955527
331,21,0.9235573235310677
332,21,0.9351963870152018
333,21,0.9351963870152018
334,21,0.9351963870152018
335,22,0.9270821259727839
336,22,0.9270821259727839
337,22,0.9328468218569224
338,22,0.9328468218569224
339,22,0.9328468218569224
340,23,0.9295896664221515
341,23,0.9295896664221515
342,23,0.9295896664221515
343,23,0.9295896664221515
344,23,0.9295896664221515
345,24,0.9199928801174693
346,23,0.9281631530035022
347,24,0.9356024747376642
348,25,0.9328755301640509
349,25,0.9406094619403277
350,24,0.9332805635678634
351,22,0.9359891583959676
352,22,0.9359891583959676
353,21,0.9217394744604713
354,21,0.9217394744604713
355,20,0.9299923159793945
356,20,0.9299923159793945
357,19,0.9338794970411994
358,20,0.936838310538899
359,19,0.9336163265037387
360,18,0.9378209975952136
361,20,0.9679863084655643
362,19,0.9683547641337457
363,18,0.9701906654700346
364,18,0.9701906654700346
365,17,0.9861273637265202
366,16,0.9894144655904225
367,15,0.997546839269962
368,18,1.0030736196475616
369,18,1.0030736196475616
370,18,1.0030736196475616
371,18,1.0030736196475616
372,18,1.0030736196475616
373,18,1.021813849982917
374,18,1.021813849982917
375,18,1.021813849982917
376,18,1.021813849982917
377,18,1.021813849982917
378,18,1.021813849982917
379,17,1.0283498884281237
380,17,1.0268119901309543
381,17,1.0268119901309543
382,17,1.0268119901309543
383,17,1.0268119901309543
384,19,1.0288326895604676
385,19,1.0288326895604676
386,19,1.0288326895604676
387,20,1.0046084459389053
388,20,1.0046084459389053
389,20,1.0046084459389053
390,20,1.0046084459389053
391,20,1.0046084459389053
392,21,1.0071341858562644
393,21,1.0071341858562644
394,20,1.0090846055967166
395,21,1.0048138601820633
396,21,1.0048138601820633
397,22,1.0005102641312404
398,22,1.0005102641312404
399,22,1.0005102641312404
400,22,0.9825416395083727
401,22,0.9825416395083727
402,22,0.9825416395083727
403,21,0.9713200395451784
404,20,0.955184323000864
405,20,0.955184323000864
406,19,0.9528207229526204
407,19,0.9632192984202473
408,19,0.9632192984202473
409,17,0.9615728591841289
410,18,0.952371950757244
411,18,0.952371950757244
412,18,0.952371950757244
413,19,0.9534227678555967
414,20,0.9562676280676529
415,19,0.9679591048941968
416,17,0.9618544178794446
417,17,0.9618544178794446
418,18,0.9705021352649682
419,17,0.9606992323900734
420,17,0.9606992323900734
421,18,0.9598329518144689
422,18,0.9598329518144689
423,19,0.9541226402752692
424,19,0.9541226402752692
425,20,0.9514455479554595
426,20,0.9514455479554595
427,20,0.9514455479554595
428,20,0.9514455479554595
429,20,0.9610747078780213
430,20,0.9610747078780213
431,20,0.9610747078780213
432,21,0.9596583814701984
433,22,0.9572718462401866
434,22,0.9572718462401866
435,22,0.9572718462401866
436,23,0.9541743776617979
437,22,0.9598351944235554
438,23,0.9530164691191836
439,23,0.9530164691191836
440,23,0.9530164691191836
441,23,0.9530164691191836
442,24,0.9573787728869622
443,24,0.9573787728869622
444,23,0.9581075750928537
445,23,0.9581075750928537
446,22,0.9464835961202105
447,22,0.9464835961202105
448,22,0.9464835961202105
449,22,0.9464835961202105
450,24,0.9377927452084182
451,24,0.9434479002168467
452,24,0.9434479002168467
453,22,0.9437844328712928
454,21,0.9383623113792853
455,21,0.9367543675947433
456,21,0.9367543675947433
457,21,0.9369022613266489
458,21,0.9369022613266489
459,21,0.9369022613266489
460,22,0.9351476806078624
461,22,0.9382774648338753
462,23,0.9445300187209679
463,22,0.9495638149167015
464,22,0.9495638149167015
465,22,0.9495638149167015
466,23,0.9507922667704546
467,22,0.9492022867705111
468,22,0.9492022867705111
469,20,0.953275163665638
470,20,0.9608932927534619
471,20,0.9608932927534619
472,19,0.9631389459724164
473,19,0.9662060744980865
474,19,0.9684477672491989
475,19,0.9684477672491989
476,19,0.9684477672491989
477,18,0.9774665164967643
478,18,0.9774665164967643
479,18,0.9774665164967643
480,17,0.9948863072700405
481,16,0.9894363137096052
482,17,0.9976789521230811
483,16,1.006825322095169
484,16,1.006825322095169
485,16,1.006825322095169
486,17,1.0096434848874039
487,17,1.0096434848874039
