tick,population,average_speed
1,5,0.24626754767068829
2,5,0.24626754767068829
3,5,0.24626754767068829
4,5,0.24626754767068829
5,5,0.24626754767068829
6,5,0.24626754767068829
7,5,0.24626754767068829
8,5,0.24626754767068829
9,4,0.1965416263210659
10,3,0.10473239863156773
11,3,0.10473239863156773
12,3,0.10473239863156773
13,3,0.10473239863156773
14,3,0.10473239863156773
15,3,0.10473239863156773
16,3,0.10473239863156773
17,3,0.10473239863156773
18,3,0.10473239863156773
19,3,0.10473239863156773
20,3,0.10473239863156773
21,3,0.10473239863156773
22,3,0.10473239863156773
23,3,0.10473239863156773
24,3,0.10473239863156773
25,3,0.10473239863156773
26,3,0.10473239863156773
27,3,0.10473239863156773
28,3,0.10473239863156773
29,3,0.10473239863156773
30,3,0.10473239863156773
31,3,0.10473239863156773
32,3,0.10473239863156773
33,3,0.10473239863156773
34,3,0.10473239863156773
35,3,0.10473239863156773
36,3,0.10473239863156773
37,3,0.10473239863156773
38,3,0.10473239863156773
39,3,0.10473239863156773
40,3,0.10473239863156773
41,4,0.13415974789656646
42,4,0.13415974789656646
43,4,0.13415974789656646
44,4,0.13415974789656646
45,4,0.13415974789656646
46,4,0.13415974789656646
47,4,0.13415974789656646
48,4,0.13415974789656646
49,4,0.13415974789656646
50,4,0.13415974789656646
51,4,0.13415974789656646
52,4,0.13415974789656646
53,4,0.13415974789656646
54,4,0.13415974789656646
55,4,0.13415974789656646
56,4,0.13415974789656646
57,4,0.13415974789656646
58,3,0.10473239863156773
59,3,0.10473239863156773
60,3,0.10473239863156773
61,3,0.10473239863156773
62,3,0.10473239863156773
63,3,0.10473239863156773
64,3,0.10473239863156773
65,3,0.10473239863156773
66,3,0.10473239863156773
67,3,0.10473239863156773
68,3,0.10473239863156773
69,4,0.09663776837361401
70,4,0.09663776837361401
71,4,0.09663776837361401
72,4,0.09663776837361401
73,4,0.09663776837361401
74,4,0.09663776837361401
75,4,0.09663776837361401
76,4,0.09663776837361401
77,4,0.09663776837361401
78,4,0.09663776837361401
79,4,0.09663776837361401
80,4,0.09663776837361401
81,4,0.09663776837361401
82,5,0.12922548782804316
83,5,0.12922548782804316
84,5,0.12922548782804316
85,6,0.12010975587962686
86,7,0.11534049577927405
87,7,0.11534049577927405
88,7,0.11534049577927405
89,7,0.11534049577927405
90,8,0.11499215516806822
91,8,0.11499215516806822
92,9,0.10261261236898589
93,9,0.10261261236898589
94,9,0.10261261236898589
95,11,0.09848849060002131
96,12,0.1066574010035925
97,12,0.0995103123540297
98,12,0.0995103123540297
99,12,0.0995103123540297
100,12,0.0995103123540297
101,12,0.0995103123540297
102,12,0.0995103123540297
103,12,0.0995103123540297
104,12,0.0995103123540297
105,12,0.0995103123540297
106,12,0.0995103123540297
107,12,0.0995103123540297
108,13,0.10596993392110471
109,13,0.10596993392110471
110,14,0.10546800222741708
111,14,0.10546800222741708
112,15,0.10456410719181003
113,16,0.09861274381126524
114,17,0.10313516628077937
115,19,0.11398486511646408
116,19,0.11398486511646408
117,20,0.11683145516842126
118,21,0.11826171843141572
119,22,0.11580220037839259
120,22,0.11580220037839259
121,23,0.12262937395172789
122,23,0.12262937395172789
123,25,0.12732640486785998
124,26,0.13608992557214258
125,26,0.13608992557214258
126,27,0.13104955795835954
127,27,0.13104955795835954
128,28,0.12683435692904174
129,29,0.13378662022267412
130,29,0.13378662022267412
131,30,0.13376581222010842
132,31,0.12945078601945975
133,32,0.1336193997680019
134,35,0.1345820654672593
